Frequency (Hz),RIN (Hz^-1/2)
12355.71105,9.15E-07
12385.38091,8.97E-07
12415.05078,8.89E-07
12444.72065,8.94E-07
12474.39052,9.16E-07
12504.06038,9.51E-07
12533.73025,9.79E-07
12563.40012,9.83E-07
12593.06999,9.70E-07
12622.73986,9.58E-07
12652.40972,9.53E-07
12682.07959,9.45E-07
12711.74946,9.34E-07
12741.41933,9.37E-07
12771.08919,9.46E-07
12800.75906,9.45E-07
12830.42893,9.42E-07
12860.0988,9.44E-07
12889.76866,9.46E-07
12919.43853,9.45E-07
12949.1084,9.49E-07
12978.77827,9.53E-07
13008.44813,9.58E-07
13038.118,9.55E-07
13067.78787,9.34E-07
13097.45774,9.12E-07
13127.1276,9.03E-07
13156.79747,9.10E-07
13186.46734,9.27E-07
13216.13721,9.45E-07
13245.80708,9.52E-07
13275.47694,9.43E-07
13305.14681,9.24E-07
13334.81668,9.07E-07
13364.48655,8.98E-07
13394.15641,9.06E-07
13423.82628,9.15E-07
13453.49615,9.11E-07
13483.16602,8.99E-07
13512.83588,8.94E-07
13542.50575,9.04E-07
13572.17562,9.11E-07
13601.84549,9.07E-07
13631.51535,9.06E-07
13661.18522,9.13E-07
13690.85509,9.28E-07
13720.52496,9.38E-07
13750.19482,9.41E-07
13779.86469,9.46E-07
13809.53456,9.69E-07
13839.20443,1.01E-06
13868.8743,1.03E-06
13898.54416,1.02E-06
13928.21403,9.94E-07
13957.8839,9.66E-07
13987.55377,9.47E-07
14017.22363,9.39E-07
14046.8935,9.28E-07
14076.56337,9.12E-07
14106.23324,9.06E-07
14135.9031,9.17E-07
14165.57297,9.32E-07
14195.24284,9.36E-07
14224.91271,9.24E-07
14254.58257,9.08E-07
14284.25244,9.05E-07
14313.92231,9.19E-07
14343.59218,9.31E-07
14373.26204,9.36E-07
14402.93191,9.28E-07
14432.60178,9.18E-07
14462.27165,9.14E-07
14491.94152,9.19E-07
14521.61138,9.16E-07
14551.28125,9.02E-07
14580.95112,8.96E-07
14610.62099,9.02E-07
