frequency (Hz),RIN (Hz^-1/2)
22740.16471,7.11E-06
22769.83458,7.19E-06
22799.50445,6.75E-06
22829.17432,6.69E-06
22858.84418,6.62E-06
22888.51405,7.15E-06
22918.18392,7.55E-06
22947.85379,7.36E-06
22977.52366,7.18E-06
23007.19352,6.85E-06
23036.86339,7.73E-06
23066.53326,7.43E-06
23096.20313,7.31E-06
23125.87299,7.36E-06
23155.54286,7.35E-06
23185.21273,7.54E-06
23214.8826,7.15E-06
23244.55246,7.27E-06
23274.22233,7.54E-06
23303.8922,6.92E-06
23333.56207,6.41E-06
23363.23193,6.93E-06
23392.9018,7.40E-06
23422.57167,7.43E-06
23452.24154,6.76E-06
23481.9114,6.46E-06
23511.58127,6.52E-06
23541.25114,6.40E-06
23570.92101,6.67E-06
23600.59088,6.92E-06
23630.26074,6.90E-06
23659.93061,6.59E-06
23689.60048,7.24E-06
23719.27035,7.18E-06
23748.94021,6.79E-06
23778.61008,6.81E-06
23808.27995,7.25E-06
23837.94982,6.76E-06
23867.61968,7.16E-06
23897.28955,7.71E-06
23926.95942,7.63E-06
23956.62929,7.66E-06
23986.29915,7.10E-06
24015.96902,7.27E-06
24045.63889,6.38E-06
24075.30876,6.67E-06
24104.97862,6.93E-06
24134.64849,6.87E-06
24164.31836,6.38E-06
24193.98823,6.68E-06
24223.6581,6.94E-06
24253.32796,7.52E-06
24282.99783,7.56E-06
24312.6677,7.18E-06
24342.33757,6.76E-06
24372.00743,7.10E-06
24401.6773,7.35E-06
24431.34717,7.64E-06
24461.01704,7.60E-06
24490.6869,7.44E-06
24520.35677,7.16E-06
24550.02664,8.22E-06
24579.69651,7.59E-06
24609.36637,7.49E-06
24639.03624,6.84E-06
24668.70611,7.12E-06
24698.37598,7.58E-06
24728.04584,7.49E-06
24757.71571,7.90E-06
24787.38558,7.53E-06
24817.05545,7.53E-06
24846.72532,7.46E-06
24876.39518,7.35E-06
24906.06505,7.38E-06
24935.73492,7.50E-06
24965.40479,7.08E-06
24995.07465,7.08E-06
25024.74452,6.16E-06
25054.41439,7.04E-06
25084.08426,7.49E-06
25113.75412,7.94E-06
25143.42399,7.85E-06
25173.09386,7.19E-06
25202.76373,7.13E-06
25232.43359,7.02E-06
25262.10346,6.98E-06
25291.77333,7.09E-06
25321.4432,6.91E-06
25351.11306,6.66E-06
25380.78293,7.33E-06
25410.4528,7.47E-06
25440.12267,7.60E-06
25469.79254,7.78E-06
25499.4624,7.56E-06
25529.13227,7.85E-06
25558.80214,8.46E-06
25588.47201,7.97E-06
25618.14187,7.18E-06
25647.81174,7.10E-06
25677.48161,7.37E-06
25707.15148,7.19E-06
25736.82134,7.41E-06
25766.49121,7.76E-06
25796.16108,7.10E-06
25825.83095,7.72E-06
25855.50081,7.67E-06
25885.17068,7.38E-06
25914.84055,7.27E-06
25944.51042,6.85E-06
25974.18028,6.50E-06
