Frequency (Hz),1A,2A,3A,4A,5A
7015.134874,3.33E-06,1.74E-06,1.69E-06,1.63E-06,1.50E-06
7044.804742,3.78E-06,2.31E-06,1.86E-06,1.88E-06,1.75E-06
7074.474609,3.33E-06,2.06E-06,1.93E-06,1.52E-06,1.88E-06
7104.144477,3.17E-06,1.93E-06,2.01E-06,1.49E-06,1.85E-06
7133.814345,3.24E-06,1.60E-06,1.95E-06,1.74E-06,2.09E-06
7163.484212,3.64E-06,2.03E-06,1.77E-06,1.81E-06,1.80E-06
7193.15408,3.61E-06,1.87E-06,1.37E-06,1.87E-06,1.67E-06
7222.823947,2.91E-06,1.77E-06,1.44E-06,1.57E-06,1.87E-06
7252.493815,3.05E-06,1.42E-06,1.52E-06,1.55E-06,1.69E-06
7282.163683,3.36E-06,1.76E-06,1.74E-06,1.36E-06,1.57E-06
7311.83355,2.94E-06,1.87E-06,1.58E-06,1.82E-06,1.62E-06
7341.503418,3.48E-06,2.16E-06,1.24E-06,1.37E-06,1.80E-06
7371.173286,3.77E-06,1.81E-06,1.43E-06,1.27E-06,1.68E-06
7400.843153,3.15E-06,1.52E-06,1.34E-06,1.19E-06,1.43E-06
7430.513021,3.56E-06,2.07E-06,1.39E-06,1.40E-06,1.24E-06
7460.182888,3.65E-06,2.27E-06,1.34E-06,1.59E-06,1.26E-06
7489.852756,4.04E-06,1.74E-06,1.26E-06,1.59E-06,1.70E-06
7519.522624,3.90E-06,1.35E-06,1.22E-06,1.89E-06,2.10E-06
7549.192491,3.45E-06,1.80E-06,1.25E-06,1.88E-06,2.16E-06
7578.862359,2.97E-06,1.92E-06,1.54E-06,1.45E-06,2.05E-06
7608.532227,3.12E-06,1.99E-06,1.58E-06,1.36E-06,2.10E-06
7638.202094,3.27E-06,2.10E-06,1.79E-06,1.64E-06,1.72E-06
7667.871962,3.85E-06,1.75E-06,1.99E-06,1.36E-06,2.04E-06
7697.541829,3.76E-06,1.96E-06,2.04E-06,1.49E-06,2.09E-06
7727.211697,3.77E-06,2.05E-06,1.92E-06,1.52E-06,1.92E-06
7756.881565,3.80E-06,1.69E-06,1.74E-06,1.25E-06,1.60E-06
7786.551432,3.85E-06,2.11E-06,1.63E-06,1.56E-06,1.64E-06
7816.2213,4.17E-06,2.17E-06,1.67E-06,1.73E-06,1.69E-06
7845.891168,3.79E-06,1.67E-06,1.68E-06,2.04E-06,1.74E-06
7875.561035,3.87E-06,1.89E-06,1.78E-06,2.01E-06,1.80E-06
7905.230903,3.59E-06,1.89E-06,1.64E-06,1.64E-06,1.71E-06
7934.90077,3.27E-06,2.21E-06,1.48E-06,1.89E-06,1.67E-06
7964.570638,3.18E-06,1.82E-06,1.78E-06,1.98E-06,1.90E-06
7994.240506,3.46E-06,1.48E-06,2.02E-06,1.63E-06,2.00E-06
8023.910373,3.57E-06,1.97E-06,1.77E-06,1.91E-06,1.87E-06
8053.580241,3.48E-06,1.99E-06,1.64E-06,1.97E-06,1.62E-06
8083.250109,3.99E-06,1.83E-06,1.99E-06,1.92E-06,1.38E-06
8112.919976,3.35E-06,2.28E-06,1.91E-06,1.98E-06,1.74E-06
8142.589844,3.51E-06,2.19E-06,1.88E-06,1.93E-06,1.74E-06
8172.259711,3.95E-06,2.13E-06,1.72E-06,1.30E-06,1.62E-06
8201.929579,4.22E-06,2.02E-06,1.71E-06,1.73E-06,1.36E-06
8231.599447,3.65E-06,1.83E-06,1.77E-06,1.83E-06,2.00E-06
8261.269314,3.74E-06,1.59E-06,1.88E-06,1.75E-06,2.01E-06
8290.939182,2.73E-06,1.91E-06,1.66E-06,2.06E-06,2.24E-06
8320.609049,3.56E-06,2.25E-06,1.64E-06,1.83E-06,2.17E-06
8350.278917,4.14E-06,2.25E-06,1.32E-06,1.67E-06,1.99E-06
8379.948785,4.22E-06,2.54E-06,1.29E-06,1.68E-06,1.81E-06
8409.618652,3.90E-06,2.40E-06,1.30E-06,1.77E-06,1.79E-06
8439.28852,3.38E-06,2.24E-06,9.41E-07,1.99E-06,1.76E-06
8468.958388,3.56E-06,1.94E-06,1.54E-06,1.81E-06,1.81E-06
8498.628255,3.34E-06,1.99E-06,1.75E-06,2.01E-06,1.83E-06
8528.298123,3.90E-06,1.70E-06,1.76E-06,1.90E-06,1.57E-06
8557.96799,3.53E-06,1.33E-06,2.16E-06,1.70E-06,1.64E-06
