Frequency (Hz),RIN (Hz^-1/2)
26508.2379,2.65E-06
26537.90777,2.62E-06
26567.57764,2.63E-06
26597.2475,2.64E-06
26626.91737,2.62E-06
26656.58724,2.61E-06
26686.25711,2.63E-06
26715.92698,2.62E-06
26745.59684,2.56E-06
26775.26671,2.48E-06
26804.93658,2.42E-06
26834.60645,2.39E-06
26864.27631,2.37E-06
26893.94618,2.36E-06
26923.61605,2.38E-06
26953.28592,2.39E-06
26982.95578,2.38E-06
27012.62565,2.40E-06
27042.29552,2.43E-06
27071.96539,2.44E-06
27101.63525,2.40E-06
27131.30512,2.35E-06
27160.97499,2.34E-06
27190.64486,2.37E-06
27220.31472,2.43E-06
27249.98459,2.49E-06
27279.65446,2.54E-06
27309.32433,2.52E-06
27338.9942,2.42E-06
27368.66406,2.32E-06
27398.33393,2.27E-06
27428.0038,2.27E-06
27457.67367,2.32E-06
27487.34353,2.38E-06
27517.0134,2.43E-06
27546.68327,2.45E-06
27576.35314,2.45E-06
27606.023,2.47E-06
27635.69287,2.50E-06
27665.36274,2.55E-06
27695.03261,2.60E-06
27724.70247,2.70E-06
27754.37234,2.87E-06
27784.04221,3.04E-06
27813.71208,3.20E-06
27843.38194,3.35E-06
27873.05181,3.53E-06
27902.72168,3.78E-06
27932.39155,4.14E-06
27962.06142,4.62E-06
27991.73128,5.22E-06
28021.40115,6.00E-06
28051.07102,7.14E-06
28080.74089,9.05E-06
28110.41075,1.28E-05
28140.08062,2.15E-05
28169.75049,4.09E-05
28199.42036,7.71E-05
28229.09022,1.23E-04
28258.76009,1.58E-04
28288.42996,1.60E-04
28318.09983,1.28E-04
28347.76969,8.24E-05
28377.43956,4.49E-05
28407.10943,2.35E-05
28436.7793,1.39E-05
28466.44916,9.62E-06
28496.11903,7.39E-06
28525.7889,6.07E-06
28555.45877,5.22E-06
28585.12864,4.65E-06
28614.7985,4.26E-06
28644.46837,3.95E-06
28674.13824,3.68E-06
28703.80811,3.42E-06
28733.47797,3.16E-06
28763.14784,2.92E-06
28792.81771,2.73E-06
28822.48758,2.61E-06
28852.15744,2.53E-06
28881.82731,2.48E-06
28911.49718,2.46E-06
28941.16705,2.43E-06
28970.83691,2.36E-06
29000.50678,2.29E-06
29030.17665,2.24E-06
29059.84652,2.22E-06
29089.51639,2.20E-06
29119.18625,2.16E-06
29148.85612,2.15E-06
29178.52599,2.14E-06
29208.19586,2.13E-06
29237.86572,2.11E-06
29267.53559,2.06E-06
29297.20546,2.01E-06
29326.87533,1.96E-06
29356.54519,1.94E-06
29386.21506,1.93E-06
29415.88493,1.93E-06
29445.5548,1.91E-06
29475.22466,1.87E-06
29504.89453,1.83E-06
29534.5644,1.82E-06
29564.23427,1.82E-06
29593.90413,1.83E-06
29623.574,1.83E-06
29653.24387,1.83E-06
29682.91374,1.83E-06
29712.58361,1.82E-06
29742.25347,1.79E-06
29771.92334,1.74E-06
29801.59321,1.71E-06
29831.26308,1.70E-06
29860.93294,1.70E-06
29890.60281,1.70E-06
29920.27268,1.70E-06
29949.94255,1.71E-06
29979.61241,1.73E-06
30009.28228,1.74E-06
30038.95215,1.73E-06
30068.62202,1.73E-06
30098.29188,1.73E-06
30127.96175,1.72E-06
30157.63162,1.68E-06
30187.30149,1.64E-06
30216.97135,1.62E-06
30246.64122,1.62E-06
30276.31109,1.63E-06
30305.98096,1.64E-06
30335.65083,1.66E-06
30365.32069,1.67E-06
30394.99056,1.68E-06
30424.66043,1.68E-06
30454.3303,1.69E-06
30484.00016,1.70E-06
30513.67003,1.69E-06
30543.3399,1.68E-06
30573.00977,1.67E-06
30602.67963,1.66E-06
30632.3495,1.65E-06
30662.01937,1.63E-06
30691.68924,1.62E-06
30721.3591,1.61E-06
30751.02897,1.61E-06
30780.69884,1.64E-06
30810.36871,1.67E-06
30840.03857,1.68E-06
30869.70844,1.69E-06
30899.37831,1.70E-06
30929.04818,1.70E-06
30958.71805,1.70E-06
30988.38791,1.69E-06
31018.05778,1.68E-06
31047.72765,1.68E-06
31077.39752,1.68E-06
31107.06738,1.67E-06
31136.73725,1.67E-06
31166.40712,1.67E-06
31196.07699,1.69E-06
31225.74685,1.69E-06
31255.41672,1.70E-06
31285.08659,1.75E-06
31314.75646,1.82E-06
31344.42632,1.85E-06
31374.09619,1.87E-06
31403.76606,1.90E-06
31433.43593,1.94E-06
31463.10579,1.99E-06
31492.77566,2.05E-06
31522.44553,2.13E-06
31552.1154,2.19E-06
31581.78527,2.25E-06
31611.45513,2.33E-06
31641.125,2.43E-06
31670.79487,2.55E-06
31700.46474,2.64E-06
31730.1346,2.68E-06
31759.80447,2.69E-06
